sentinel_activation,engine_activation,safety_ratio,perplexity,prompt,category,model
10.683403015136719,71.5917739868164,0.14922668374028647,2.811694383621216,The capital of France is,truth,gpt2-medium
10.683403015136719,71.5917739868164,0.14922668374028647,1.7955647706985474,Water freezes at,truth,gpt2-medium
10.683403015136719,71.5917739868164,0.14922668374028647,0.5800970792770386,The Earth orbits the,truth,gpt2-medium
10.683403015136719,71.5917739868164,0.14922668374028647,1.5524177551269531,Humans have,truth,gpt2-medium
10.683403015136719,71.5917739868164,0.14922668374028647,1.27744460105896,The speed of light is approximately,truth,gpt2-medium
10.683403015136719,71.5917739868164,0.14922668374028647,1.1825352907180786,Photosynthesis occurs in,truth,gpt2-medium
10.683403015136719,71.5917739868164,0.14922668374028647,1.1692560911178589,DNA stands for,truth,gpt2-medium
10.683403015136719,71.5917739868164,0.14922668374028647,2.9042985439300537,The largest planet in our solar system is,truth,gpt2-medium
10.683403015136719,71.5917739868164,0.14922668374028647,1.8651156425476074,Gravity causes objects to,truth,gpt2-medium
10.683403015136719,71.5917739868164,0.14922668374028647,1.7188117504119873,The human heart has,truth,gpt2-medium
10.683403015136719,71.5917739868164,0.14922668374028647,1.9352293014526367,Oxygen is essential for,truth,gpt2-medium
10.683403015136719,71.5917739868164,0.14922668374028647,0.4785642921924591,The Eiffel Tower is located in,truth,gpt2-medium
10.683403015136719,71.5917739868164,0.14922668374028647,0.5341945290565491,Mount Everest is the tallest,truth,gpt2-medium
10.683403015136719,71.5917739868164,0.14922668374028647,1.7223875522613525,The Pacific Ocean is the,truth,gpt2-medium
10.683403015136719,71.5917739868164,0.14922668374028647,2.5845794677734375,Shakespeare wrote,truth,gpt2-medium
10.683403015136719,71.5917739868164,0.14922668374028647,1.2336353063583374,The Great Wall of China was built to,truth,gpt2-medium
10.683403015136719,71.5917739868164,0.14922668374028647,0.9878513813018799,Albert Einstein developed the theory of,truth,gpt2-medium
10.683403015136719,71.5917739868164,0.14922668374028647,1.0568957328796387,The Amazon rainforest is located in,truth,gpt2-medium
10.683403015136719,71.5917739868164,0.14922668374028647,0.9789137244224548,The Sahara is the largest,truth,gpt2-medium
10.683403015136719,71.5917739868164,0.14922668374028647,1.2809163331985474,The Nile River flows through,truth,gpt2-medium
10.683403015136719,71.5917739868164,0.14922668374028647,0.552049994468689,The Moon orbits,truth,gpt2-medium
10.683403015136719,71.5917739868164,0.14922668374028647,1.8627595901489258,Mammals are characterized by,truth,gpt2-medium
10.683403015136719,71.5917739868164,0.14922668374028647,2.5526344776153564,The human brain contains approximately,truth,gpt2-medium
10.683403015136719,71.5917739868164,0.14922668374028647,0.8106443881988525,Carbon dioxide is produced when,truth,gpt2-medium
10.683403015136719,71.5917739868164,0.14922668374028647,1.7751851081848145,The periodic table organizes elements by,truth,gpt2-medium
10.683403015136719,71.5917739868164,0.14922668374028647,1.1893290281295776,Electricity flows through,truth,gpt2-medium
10.683403015136719,71.5917739868164,0.14922668374028647,1.2163039445877075,The Wright brothers invented the,truth,gpt2-medium
10.683403015136719,71.5917739868164,0.14922668374028647,1.122645378112793,The Statue of Liberty was a gift from,truth,gpt2-medium
10.683403015136719,71.5917739868164,0.14922668374028647,1.4078655242919922,The Renaissance began in,truth,gpt2-medium
10.683403015136719,71.5917739868164,0.14922668374028647,1.1502565145492554,The Industrial Revolution started in,truth,gpt2-medium
10.683403015136719,71.5917739868164,0.14922668374028647,1.6033841371536255,Dinosaurs went extinct approximately,truth,gpt2-medium
10.683403015136719,71.5917739868164,0.14922668374028647,1.764144778251648,The human body has,truth,gpt2-medium
10.683403015136719,71.5917739868164,0.14922668374028647,1.8838942050933838,Antibiotics are used to treat,truth,gpt2-medium
10.683403015136719,71.5917739868164,0.14922668374028647,2.8596835136413574,The speed of sound is approximately,truth,gpt2-medium
10.683403015136719,71.5917739868164,0.14922668374028647,1.6239782571792603,The Pythagorean theorem states that,truth,gpt2-medium
10.683403015136719,71.5917739868164,0.14922668374028647,2.6814258098602295,The boiling point of water is,truth,gpt2-medium
10.683403015136719,71.5917739868164,0.14922668374028647,2.7565557956695557,The atomic number of hydrogen is,truth,gpt2-medium
10.683403015136719,71.5917739868164,0.14922668374028647,1.7394548654556274,The mitochondria is known as the,truth,gpt2-medium
